,ml,eq_num,field,acc,struct,score,evaluation,size,time
0,symbolicgpt,132,che,0.6,0.0,0.42,0.3181818181818181,31.65909090909091,0.5264281190757579
1,KernelRidge,132,che,2.2,0.0,1.54,1.1666666666666667,1000.0,3.3615446513257647
2,LinearRegression,132,che,17.3,0.0,12.109999999999998,9.174242424242422,3.5984848484848486,0.00472190387878794
3,AdaBoostRegressor,132,che,21.3,0.0,14.909999999999993,11.29545454545454,526.1666666666666,0.18311521583333348
4,MLPRegressor,132,che,27.4,0.0,19.17999999999999,14.53030303030302,1121.6969696969697,95.58855744168191
5,LGBMRegressor,132,che,35.3,0.0,24.709999999999983,18.719696969696955,1438.2348484848485,22.33658610445455
6,DSRRegressor,132,che,0.0,87.94456808495012,26.383370425484998,19.987401837488637,10.287878787878787,11.520515565818169
7,RandomForestRegressor,132,che,38.3,0.0,26.80999999999998,20.310606060606045,104918.68181818182,0.6513969022727257
8,gplearn,132,che,1.6,91.45642140652562,28.556926421957673,21.63403516814975,7.287878787878788,0.07755160204545437
9,XGBRegressor,132,che,42.2,0.0,29.539999999999978,22.37878787878786,4666.469696969697,21.31437572453788
10,AFPRegressor,132,che,7.1,94.1202772266314,33.20608316798941,25.15612361211319,7.2727272727272725,4.888737206553036
11,FE_AFPRegressor,132,che,8.2,93.86246472663143,33.89873941798942,25.68086319544653,5.893939393939394,4.797249576196968
12,EPLEXRegressor,132,che,8.2,94.7374647266314,34.161239417989414,25.879726831810164,7.651515151515151,5.246452738696971
13,BSRRegressor,132,che,7.7,95.99159832451502,34.18747949735451,25.89960567981402,7.4772727272727275,3.0842553786666715
14,FEATRegressor,132,che,19.7,75.69606885655494,36.49882065696651,27.650621709823113,62.07575757575758,1.031746602962121
15,EHCRegressor,132,che,15.0,93.18277722663142,38.45483316798943,29.132449369688963,5.015151515151516,5.308192680545457
16,sembackpropgp,132,che,16.2,94.48672067901236,39.68601620370371,30.06516379068463,16.234848484848484,0.09248963903030308
17,GPGOMEARegressor,132,che,18.9,101.94840222663142,43.81452066798942,33.192818687870776,26.984848484848484,0.14160791111363658
18,OperonRegressor,132,che,23.8,101.52652722663142,47.11795816798944,35.695422854537455,50.04545454545455,0.944823982901515
19,FFXRegressor,132,che,27.0,99.2713188932981,48.68139566798944,36.879845203022306,233.36363636363637,1363.0872327103252
20,end2end,132,che,46.6,96.28081477807174,61.504244433421526,46.59412457077388,81.8409090909091,9.440769828151517
