,ml,eq_num,field,acc,struct,score,evaluation,size,time
0,symbolicgpt,91,phy,0.0,0.0,0.0,0.0,30.76923076923077,0.6121896393186813
1,KernelRidge,91,phy,0.5,0.0,0.35,0.3846153846153846,1000.0,3.557413784351649
2,LinearRegression,91,phy,9.9,0.0,6.930000000000001,7.615384615384616,3.340659340659341,0.004613221263736386
3,AdaBoostRegressor,91,phy,14.7,0.0,10.29,11.307692307692307,557.5824175824176,0.18966783017582406
4,MLPRegressor,91,phy,25.9,0.0,18.12999999999999,19.92307692307691,1070.131868131868,95.59956176365937
5,LGBMRegressor,91,phy,26.4,0.0,18.479999999999986,20.307692307692292,1425.1978021978023,22.151583848461538
6,DSRRegressor,91,phy,0.0,62.65538525132277,18.796615575396828,20.655621511425085,10.307692307692308,11.504422180637368
7,gplearn,91,phy,0.0,64.72353505291005,19.41706051587301,21.33742913832199,8.516483516483516,0.07973195704395601
8,XGBRegressor,91,phy,30.8,0.0,21.559999999999985,23.692307692307676,5086.285714285715,22.4899180358022
9,RandomForestRegressor,91,phy,31.8,0.0,22.259999999999984,24.461538461538442,112268.74725274726,0.6498914082967038
10,AFPRegressor,91,phy,5.7,67.3219560185185,24.186586805555557,26.57866681929182,6.6923076923076925,5.236797505714287
11,FE_AFPRegressor,91,phy,6.3,66.8610185185185,24.468305555555556,26.888247863247866,5.549450549450549,4.708240259494507
12,EPLEXRegressor,91,phy,7.2,67.5407060185185,25.30221180555556,27.804628357753362,7.7032967032967035,4.729557905098904
13,EHCRegressor,91,phy,7.9,66.9000810185185,25.600024305555557,28.131894841269844,5.373626373626373,5.3270097680439585
14,FEATRegressor,91,phy,14.7,55.011076388888874,26.793322916666668,29.443211996337,81.51648351648352,0.8618293369230772
15,BSRRegressor,91,phy,10.1,68.35353670634919,27.57606101190476,30.30336374934589,7.582417582417582,3.331040601450549
16,sembackpropgp,91,phy,13.1,68.47663525132275,29.71299057539682,32.65163799494156,16.32967032967033,0.0955084561318683
17,GPGOMEARegressor,91,phy,15.5,70.78289351851852,32.08486805555555,35.25809676434676,26.36263736263736,0.1384142139560439
18,OperonRegressor,91,phy,20.1,70.4625810185185,35.20877430555555,38.69096077533577,53.68131868131868,1.0019556890769226
19,FFXRegressor,91,phy,23.8,69.81525958994708,37.60457787698413,41.323711952729816,195.69230769230768,1258.665982544373
20,end2end,91,phy,39.2,66.7034126984127,47.45102380952382,52.143982208267936,75.5934065934066,8.64755020087912
