,X,Y,EQ
0,"[[0.179863127018198], [0.428471656224979], [0.518873020593048], [0.564970567139848], [0.117920417930760], [0.278081706822957], [0.276872656493766], [0.154512797162324], [0.269683923452262], [1.21061640178820]]","[0.392541150414404, 0.363952282017004, 0.348696577995705, 0.340093600363533, 0.396178209215159, 0.383811684726719, 0.383940468960376, 0.394208376372017, 0.384695470851582, 0.191717073483011]",sqrt(2)*exp(-theta**2/2)/(2*sqrt(pi))
1,"[[1.37528813956502, 0.149595108209193], [0.175425742293711, 0.472033642650560], [0.920477267089024, 0.224471401056740], [0.529886309924482, 1.00503766591266], [1.12303093266887, 1.13067820589490], [0.196009673365944, 0.616327558251711], [0.354445123480645, 1.10465581503100], [0.213841247627815, 0.573252460606702], [0.152365279115942, 0.413129232782905], [1.50165857083530, 0.334414357250237]]","[0.288368053361976, 0.0608969871562943, 0.420710462783085, 0.124607134798260, 0.213995041968031, 0.0145104153644776, 0.00875381665508497, 0.0513240126750706, 0.0663099005054615, 0.259161036776010]",sqrt(2)*exp(-theta**2/(2*sigma**2))/(2*sqrt(pi)*sigma)
2,"[[0.213621865963688, 0.426254258700210, 0.308074829072866], [0.485406429925811, 0.102291851752106, 0.147016252521366], [1.57495423664407, 0.268934973144915, 0.477483343135672], [0.457859215166624, 0.527340722095551, 0.321766840252597], [0.515308603297367, 0.263945673211781, 1.34186790428366], [0.190808002516823, 0.333047366443064, 0.275786715634480], [0.173483228992119, 0.216838536613730, 0.211731899716504], [0.575986771868190, 0.157303799668626, 0.190432442146782], [0.988597077093407, 0.159251711056639, 0.447423028039449], [0.364626973463935, 0.449760898837070, 0.377637642160538]]","[1.60253104074135, 0.818391456236092, 0.251093052180590, 0.787776633107734, 0.0868336043114683, 1.99874672633274, 2.29860536850185, 0.691479334760288, 0.386758493521223, 1.07291523551852]",sqrt(2)*exp(-(theta - theta1)**2/(2*sigma**2))/(2*sqrt(pi)*sigma)
3,"[[0.373414692805171, 0.943553655440992, 0.924189138241540, 0.814806972381738], [0.357187185114543, 0.842284296814459, 0.763292204136587, 0.110538455833598], [0.304055540055203, 1.13185055335840, 0.975762010263111, 0.686197838336900], [0.140583461323324, 0.741141510272435, 0.265910062609808, 0.779774574259038], [0.258612785115300, 0.316366753335692, 0.150987868765935, 0.745261627637850], [0.266698778501741, 0.158959526401209, 0.276891366254365, 0.381865618032821], [0.129057787985939, 0.350662780242199, 0.193210676830111, 0.723125956011049], [0.104771455261062, 0.610897166806083, 1.09819943266478, 0.266241219040485], [0.538388994019162, 0.746629908349263, 0.231343240409193, 0.168601481425946], [0.150694369260362, 0.232637697199890, 0.259812285061537, 0.133313694836844]]","[0.580536730038360, 0.813269121326515, 0.876978901520987, 0.790396550150659, 0.597073547671438, 0.150423867719284, 0.574385737725362, 0.973816053012005, 0.217487486355764, 0.150720278405528]",sqrt((-x1 + x2)**2 + (-y1 + y2)**2)
4,"[[1.29119403703148, 57.2635835038185, 3.58001832804686, 1.30041772996276, 2.64270098772994, 3.34747787336309, 2.02129127801042, 1.86794115642242], [34.0948986743870, 40.7739611346155, 1.18721002871930, 1.22377097061717, 3.79254211711842, 1.51240738038879, 1.08153329762869, 2.41279751636423], [14.8881047683320, 5.56122073960316, 2.50085877501615, 1.10394925227491, 1.63834317536790, 2.27679532224503, 2.81922533387153, 3.10877853079687], [1.13717886177143, 11.6223526152318, 1.16877326278535, 3.01471339330202, 3.17346395639443, 1.70718637488531, 2.80933948885176, 2.45327911015577], [38.7990029625573, 41.7028336523303, 3.08721582348959, 3.52351606182151, 1.99611491214788, 2.45613620839654, 3.93548622843034, 2.19187102787953], [47.4538981974198, 11.8282112309895, 2.88291608758263, 1.43383700362513, 1.40364243762632, 3.07625627389931, 1.60248770998816, 2.16785990429615], [1.37005024512806, 1.70816131177090, 1.87595207929422, 3.10680408810663, 2.23896225696908, 3.00997876405527, 1.35823880552262, 1.42982883138005], [59.2829707085173, 1.29002233385235, 1.35285127559305, 1.42395797834852, 1.49191778859755, 3.41609007258096, 1.12755460659467, 3.07823893472425], [31.1923129362246, 13.7732049836038, 3.55074515025749, 2.84157974366585, 2.18905624593353, 2.17163910184289, 2.13659704027965, 2.03475053636249], [8.90933941031589, 12.3347174650390, 3.99230184587603, 2.36493713113405, 3.17155775746333, 1.68628027578203, 2.12608390038621, 1.85044954580507]]","[8.63000504563907e-10, 1.33036567025714e-8, 2.26158442964490e-9, 1.55147421211984e-10, 3.13652007968949e-8, 7.17885475272034e-9, 7.38471945068954e-11, 6.79246851137820e-10, 5.58160480311325e-8, 1.48727861332181e-9]",G*m1*m2/((-x1 + x2)**2 + (-y1 + y2)**2 + (-z1 + z2)**2)
5,"[[0.202764530088997, 323368.947990032], [7138.36877445967, 413582.915783196], [91619.8154302705, 591913.833766942], [29669.5131668252, 2664149.81128445], [62772.8684810047, 223688.652173795], [58331670872.7894, 8494440.88879399], [6.83965038939391e-12, 1110284.40934939], [2.86771266226281e+27, 3547406.61011060], [1.29196098637683e+33, 7642599.01655811], [2.08882085483180e+34, 1071210.12075419]]","[0.202764648044332, 7138.37556733087, 91619.9940116860, 29670.6847740139, 62772.8859548570, 58355100436.9422, 6.83969729615568e-12, 2.86791344750262e+27, 1.29238100823537e+33, 2.08883418953293e+34]",m_0/sqrt(1 - v**2/c**2)
6,"[[0.227355807229439, 0.400509375582464, 1.15613823843460, 0.381377864754217, 0.250812201568460, 0.149117333696543], [0.467369685282892, 0.210439387402085, 0.274225839194267, 0.660692381569371, 0.479642943677959, 0.307578333045641], [0.172410738680923, 0.159720750884670, 0.711575092633109, 0.152322231326477, 0.472107600601292, 0.467655454041662], [0.854460157268384, 0.396240580461454, 0.261505720149703, 0.286972599873253, 0.153299090031749, 0.354435195332232], [0.329930930289151, 0.183602304714989, 0.958016239263600, 0.208152307591037, 0.121304032699778, 0.751666268128519], [1.06711536097569, 0.821304176822505, 0.150177411237920, 1.48161242625873, 0.510239014263074, 0.190068234167621], [0.454454440003453, 0.207186586844282, 0.596045582932935, 0.631292405703087, 0.299208359364952, 0.380643276868988], [0.324608115418423, 0.348672229667617, 0.336642492495506, 0.361433996039460, 0.835696060707311, 0.301741259791178], [0.545694915874298, 0.930389080496065, 0.149748595149820, 0.162134512282777, 0.480535312934188, 0.134315090245361], [0.234505802406122, 0.782649130966448, 0.185844186854987, 1.10509822673690, 0.284198480153585, 0.152063978564617]]","[0.359561362039268, 0.494069284179618, 0.434439341916997, 0.398636804239566, 0.811056075834034, 2.02865676803106, 0.575766339295209, 0.510287346898617, 0.555674283058862, 0.509839846358983]",x1*y1 + x2*y2 + x3*y3
7,"[[9.87988769208278e-15, 0.491284057749732], [5.84986986810034e-16, 0.188687130306885], [6.09604931748560e-11, 0.976486133688822], [2.33673135684858e-16, 0.307460227138968], [3.87154797255907e-15, 0.116403728705776], [1.44765845425482e-11, 0.102725583131777], [4.02760049173471e-19, 1.48653051883919], [0.134715993183895, 0.991434419549694], [16391.0137961894, 2.36678267857603e-5], [73212306761335.8, 1.77289656122265e-22], [3.68862108634383e-11, 3.48222182021244e+31]]","[4.85383131547806e-15, 1.10379515808057e-16, 5.95270762880789e-11, 7.18451953739413e-17, 4.50662619869164e-16, 1.48711558888974e-12, 5.98715104865537e-19, 0.133562072506335, 0.387939675371219, 1.29797846896350e-8, 1.28445968333622e+21]",Nn*mu
8,"[[2.22384362209675e-14, 2.34381163341268e-17, 1.11850234843228e-6], [8.08084859864441e-13, 4.20590936874321e-16, 1.43791984547934e-8], [1.36035436356613e-19, 8.78725579994242e-15, 5.34140070553363e-8], [1.46708530331688e-11, 3.41781693458022e-17, 2.93512414444307e-5], [1.10124462929953e-13, 3.14240364596006e-15, 7.36959279511253e-11], [7.82736304063915e-19, 2.41488834075216e-18, 3.51057135815161e-9], [9.12987248632746e-18, 2.87821207960516e-13, 5.96623804264206e-10], [7.76474338695654e-18, 7.13578746756377e-11, 2.86363592209333e-6], [2.14982385883096e-16, 4.12654770552874e-19, 3.03182259487957e-11], [4.24714970394600e-16, 2.73236894875723e-13, 6.86618727813249e-8]]","[3.74450621398449e-9, 0.0147736882489383, 3.76561928884254e-9, 5.23109515029293e-9, 572.664413114645, 1.37847320079194e-9, 0.0663479876701976, 6.07260197452434e-7, 0.000867408320686421, 0.000221231531956735]",q1*q2/(4*pi*epsilon0*r**2)
9,"[[4.99137318395030e-19, 2.33003690246193e-5], [1.98725530284681e-13, 5.88924509955566e-11], [1.10129999427499e-14, 2.21419675763330e-11], [2.73037831003376e-11, 4.42551555449302e-8], [8.98419305468457e-11, 8.99155225429843e-11], [2.06326959684481e-17, 6.09651744364809e-8], [1.73193350468110e-14, 1.57276270859727e-9], [3.76574932560841e-9, 1.80380072700024e-8], [3.51352203193925e-18, 2.34084869786402e-11], [1.00240807138182e-18, 1.58833339311906e-10]]","[8.26296377038727, 5.14962745813246e+17, 2.01889913407674e+17, 125295792669150., 9.98736992854411e+19, 49892325.0271432, 62928330973774.4, 1.04019724087941e+17, 57628511132622.4, 357110506312.056]",q1/(4*pi*epsilon0*r**2)
