Filename,Number,Output,Formula,variables,v1_name,v1_type,v1_sample_type,v1_low,v1_high,v2_name,v2_type,v2_sample_type,v2_low,v2_high,v3_name,v3_type,v3_sample_type,v3_low,v3_high,v4_name,v4_type,v4_sample_type,v4_low,v4_high,v5_name,v5_type,v5_sample_type,v5_low,v5_high,v6_name,v6_type,v6_sample_type,v6_low,v6_high,v7_name,v7_type,v7_sample_type,v7_low,v7_high,v8_name,v8_type,v8_sample_type,v8_low,v8_high,v9_name,v9_type,v9_sample_type,v9_low,v9_high,v10_name,v10_type,v10_sample_type,v10_low,v10_high
p33,1,X,((O1-e1)**2)/e1+((O2-e2)**2)/e2,4,O1,I,ulog,1,1000.0,e1,I,ulog,1,1000.0,O2,I,ulog,1,1000.0,e2,I,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p137,2,M,100*(a+b)/(a+b+c+d),4,a,I,ulog,1,1000.0,b,I,ulog,1,1000.0,c,I,ulog,1,1000.0,d,I,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p149,3,M,50*(T+6*Nn)/t,3,T,I,ulog,1,500.0,Nn,I,ulog,1,100.0,t,I,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p173,4,f,((1-d/L)**3),2,d,F,ulog,0.01,10.0,L,I,ulog,d,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p256,5,C,c/(1+k*c*t),3,k,F,u,0,10.0,c,I,ulog,1,100000000.0,t,F,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p560,6,P,exp(-m),1,m,I,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p673,7,g,b+2*c/(2*a+2*b+2*c),3,a,I,ulog,1,1000.0,b,I,ulog,1,1000.0,c,I,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p675,8,X,((O1-e1)**2)/e1+((O2-e2)**2)/e2+((O3-e3)**2)/e3,6,O1,I,ulog,1,1000.0,e1,I,ulog,1,1000.0,O2,I,ulog,1,1000.0,e2,I,ulog,1.0,1000.0,O3,I,ulog,1.0,1000.0,e3,I,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,
p676,9,P,p*((1-u)**5),2,p,F,u,0,1.0,u,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p677,10,p,1-1/(2*Nn),1,Nn,I,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
