,Filename,Number,Output,Formula,variables,v1_name,v1_type,v1_sample_type,v1_low,v1_high,v2_name,v2_type,v2_sample_type,v2_low,v2_high,v3_name,v3_type,v3_sample_type,v3_low,v3_high,v4_name,v4_type,v4_sample_type,v4_low,v4_high,v5_name,v5_type,v5_sample_type,v5_low,v5_high,v6_name,v6_type,v6_sample_type,v6_low,v6_high,v7_name,v7_type,v7_sample_type,v7_low,v7_high,v8_name,v8_type,v8_sample_type,v8_low,v8_high,v9_name,v9_type,v9_sample_type,v9_low,v9_high,v10_name,v10_type,v10_sample_type,v10_low,v10_high
0,p33,1,X,((O1-e1)**2)/e1+((O2-e2)**2)/e2,4,O1,I,ulog,1.0,1000.0,e1,I,ulog,1,1000.0,O2,I,ulog,1,1000.0,e2,I,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,p137,2,M,100*(a+b)/(a+b+c+d),4,a,I,ulog,1.0,1000.0,b,I,ulog,1,1000.0,c,I,ulog,1,1000.0,d,I,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,p149,3,M,50*(T+6*Nn)/t,3,T,I&F,ulog&u,1.0&-0.0200000000000000,500.0&0,Nn,I&F,ulog&u,1&0,100.0&0.00333333333333333,t,I&F,ulog&u,1&0,1000.0&1.00000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,p173,4,f,((1-d/L)**3),2,d,F,ulog,0.01,10.0,L,I,ulog,d,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,p256,5,C,c/(1+k*c*t),3,k,F,u,0.0,10.0,c,I,ulog,1,100000000.0,t,F,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,p560,6,P,exp(-m),1,m,I,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,p673,7,g,b+2*c/(2*a+2*b+2*c),3,a,I,ulog,1.0,1000.0,b,I,ulog,1,1000.0,c,I,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,p675,8,X,((O1-e1)**2)/e1+((O2-e2)**2)/e2+((O3-e3)**2)/e3,6,O1,I,ulog,1.0,1000.0,e1,I,ulog,1,1000.0,O2,I,ulog,1,1000.0,e2,I,ulog,1.0,1000.0,O3,I,ulog,1.0,1000.0,e3,I,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,
8,p676,9,P,p*((1-u)**5),2,p,F&F,u&u,0.0&0,1.0&499500.000000000,u,F&F,u&u,0&0,1.0&1.00000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,p677,10,p,1-1/(2*Nn),1,Nn,I,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,p679,11,P,m*(p-q)+q,3,m,F&F,u&u,0.0&0,1.0&1.00000000000000,p,F&F,u&u,0&1.00000000000000,1.0&2.00000000000000,q,F&F,u&u,0&0,1.0&1.00000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,p681,12,W,(p**2)*Wa+2*p*q*Wb+(q**2)*Wc,5,p,F,u,0.0,1.0,Wa,F,u,0,1.0,q,F,u,0,1.0,Wb,F,u,0.0,1.0,Wc,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,p688,13,F,n*lg(0.5)+lg(1+f),2,n,I,ulog,1.0,10.0,f,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,p702,14,X,(f1*x1+f2*x2+f3*x3)/(f1+f2+f3),6,f1,I,ulog,1.0,1000.0,x1,I,ulog,1,100.0,f2,I,ulog,1,1000.0,x2,I,ulog,1.0,100.0,f3,I,ulog,1.0,1000.0,x3,I,ulog,1.0,100.0,,,,,,,,,,,,,,,,,,,,
15,p702',15,X,(f1*((x1-x)**2)+f2*((x2-x)**2)+f3*((x3-x)**2))/(f1+f2+f3-1),7,f1,I,ulog,1.0,1000.0,x1,I,ulog,1,100.0,x,I,ulog,1,100.0,f2,I,ulog,1.0,1000.0,x2,I,ulog,1.0,100.0,f3,I,ulog,1.0,1000.0,x3,I,ulog,1.0,100.0,,,,,,,,,,,,,,,
16,p703,16,SD,sqrt(V),1,V,F,ulog,1.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,p703',17,C,(f1*(x1-x)*(y1-y)+f2*(x2-x)*(y2-y))/(f1+f2+f3-1),9,f1,I,ulog,1.0,1000.0,x1,I,ulog,1,100.0,x,I,ulog,1,100.0,y1,I,ulog,1.0,100.0,y,I,ulog,1.0,100.0,f2,I,ulog,1.0,1000.0,x2,I,ulog,1.0,100.0,y2,I,ulog,1.0,100.0,f3,I,ulog,1,1000,,,,,
18,p715,18,h,sqrt(Vg/Vt),2,Vg,F,ulog,0.01,100.0,Vt,F,ulog,Vg,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,p721,19,h,sqrt((x1-x)/(x2-x)),3,x1,F,ulog,0.01,100.0,x,F,ulog,1e-2,100.0,x2,F,ulog,1e-2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,p725,20,n,(D**2)/(8*V),2,D,F,ulog,0.01,100.0,V,F,ulog,0.1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,p105,21,f,(q**2)*(1-s)/(1-s*(q**2)),2,q,F,u,0.0,1.0,s,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5.5,22,P,s*p*(q**2)/(1-s*(q**2)),3,s,F,u,0.0,1.0,p,F,u,0,1.0,q,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5.13,23,q,qm+(q0-qm)*((1-m)**5),3,qm,F,u,0.0,1.0,q0,F,u,qm,1.0,m,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6.2,24,F,0.5/Nn+(1-0.5/Nn)*f,2,Nn,I,ulog,1.0,1000.0,f,F,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6.5,25,F,((1-u)**2)/(2*Nn-(2*Nn-1)*((1-u)**2)),2,u,F,u,0.0,1.0,Nn,I,ulog,1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,p201,26,A,p*q+(1-r)*D,4,p,F&F,u&u,0.0&0,1.0&1.00000000000000,q,F&F,u&u,0&0,1.0&1.00000000000000,r,F&F,u&u,0&0,1.0&1.00000000000000,D,AF&F,u&u,-1.0&0,1.0&1.00000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,p365,27,G,(H-h)/H,2,h,F,u,0.0,1.0,H,F,u,h,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,p404,28,I,(Hs-Ho)/(Hs+Ho),2,Hs,I,ulog,1.0,100.0,Ho,I,ulog,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,p448,29,n,(p**2)*((1-p)**3),1,p,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,p453,30,Nn,(2*x1-5)*(2*x2-5)*(2*x3-5)*(2*x4-5)*(2*x5-5),5,x1,I,ulog,3.0,100.0,x2,I,ulog,3,100.0,x3,I,ulog,3,100.0,x4,I,ulog,3.0,100.0,x5,I,ulog,3.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
