Filename,Number,Output,Formula,variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high
p33,1,X,((O1-e1)**2)/e1+((O2-e2)**2)/e2,4,O1,0,1000,e1,0,1000,O2,0,1000,e2,0,1000,,,,,,,,,,,,,,,,,,
p137,2,M,100*(a+b)/(a+b+c+d),4,a,0,1000,b,0,1000,c,0,1000,d,0,1000,,,,,,,,,,,,,,,,,,
p149,3,M,50*(T+6*Nn)/t,3,T,0,1000,Nn,0,100,t,0,1000,,,,,,,,,,,,,,,,,,,,,
p173,4,f,((1-d/L)**3),2,d,0,10,L,d,10,,,,,,,,,,,,,,,,,,,,,,,,
p256,5,C,c/(1+k*c*t),3,k,0,1000,c,0,1e15,t,0,100,,,,,,,,,,,,,,,,,,,,,
p560,6,P,exp(-m),1,m,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
p673,7,g,b+2*c/(2*a+2*b+2*c),3,a,0,1000,b,0,1000,c,0,1000,,,,,,,,,,,,,,,,,,,,,
p675,8,X,((O1-e1)**2)/e1+((O2-e2)**2)/e2+((O3-e3)**2)/e3,6,O1,0,1000,e1,0,1000,O2,0,1000,e2,0,1000,O3,0,1000,e3,0,1000,,,,,,,,,,,,
p676,9,P,p*((1-u)**5),2,p,0,1e5,u,0,1,,,,,,,,,,,,,,,,,,,,,,,,
p677,10,p,1-1/(2*Nn),1,Nn,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
p679,11,P,m*(p-q)+q,3,m,0,1,p,0,1,q,0,1,,,,,,,,,,,,,,,,,,,,,
p681,12,W,(p**2)*Wa+2*p*q*Wb+(q**2)*Wc,5,p,0,1,Wa,0,1,q,0,1,Wb,0,1,Wc,0,1,,,,,,,,,,,,,,,
p688,13,F,n*lg(0.5)+lg(1+f),2,n,0,10,f,0,1,,,,,,,,,,,,,,,,,,,,,,,,
p688',14,f,(p**2)+p*q*f,3,p,0,1,q,0,1,f,-1,1,,,,,,,,,,,,,,,,,,,,,
