Filename,Number,Output,Formula,variables,v1_name,v1_type,v1_sample_type,v1_low,v1_high,v2_name,v2_type,v2_sample_type,v2_low,v2_high,v3_name,v3_type,v3_sample_type,v3_low,v3_high,v4_name,v4_type,v4_sample_type,v4_low,v4_high,v5_name,v5_type,v5_sample_type,v5_low,v5_high,v6_name,v6_type,v6_sample_type,v6_low,v6_high,v7_name,v7_type,v7_sample_type,v7_low,v7_high,v8_name,v8_type,v8_sample_type,v8_low,v8_high,v9_name,v9_type,v9_sample_type,v9_low,v9_high,v10_name,v10_type,v10_sample_type,v10_low,v10_high
1.1,1,pV,n*k*NA*T,2,n,F,ulog,0.01,100.0,T,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,2,u2,u_x**2+u_y**2+u_z**2,3,u_x,F,ulog,10.0,1000.0,u_y,F,ulog,10.0,1000.0,u_z,F,ulog,10.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.21,3,f,4/sqrt(pi)*((m/(2*k*T))**(3/2))*exp(-m*(v**2)/(2*k*T))*(v**2),3,m,F,ulog,1e-27,9.999999999999999e-26,T,F,ulog,10,1000.0,v,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.34,4,f,a*exp(-(b**2)*(v**2)),3,a,F,u,0.0,1000.0,b,F,u,-1000,1000.0,v,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.41,5,B,sqrt(m/(2*k*T)),2,m,F,ulog,1e-27,9.999999999999999e-26,T,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.48,6,f,2/sqrt(pi)*((1/(k*T))**(3/2))*exp(-m*(v**2)/(2*k*T))*(sqrt(1/2*m*(v**2))),3,m,F,ulog,1e-27,9.999999999999999e-26,T,F,ulog,10,1000.0,v,F,u,-1000,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.50,7,n,exp(-1/2*m*(v**2)/(k*T)),3,m,F,ulog,1e-27,9.999999999999999e-26,T,F,ulog,10,1000.0,v,F,u,-1000,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.52,8,p,P*exp(-m*g*h/(k*T)),4,P,F,ulog,100000.0,100000000.0,m,F,ulog,1e-27,1e-25,h,F,ulog,0.01,100.0,T,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.60,9,z,p/sqrt(2*pi*m*k*T),3,p,F,ulog,100000.0,100000000.0,m,F,ulog,1e-27,1e-25,T,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.66,10,RT,(p+(1.9029/(V**2)))*(V-1.208),2,p,F,ulog,100000.0,100000000.0,V,F,ulog,1e-9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.36,11,n,1-q/Q,2,q,F,ulog,1e-5,100,Q,F,ulog,q,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.22,12,s,n*k*NA*ln(v/V),3,n,F,ulog,0.01,100.0,v,F,ulog,1e-9,0.1,V,F,ulog,1e-9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.91,13,c,1943*(T**3)/(theta**3),2,T,F,ulog,10.0,1000.0,theta,F,ulog,1,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.12',14,V,1002.93+23.189*m+2.197*(m**(3/2))-0.178*(m**2),1,m,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.12'',15,Va,(V-nb*Vb)/na,4,V,F,ulog,1e-09,0.1,nb,F,ulog,1e-2,1e6,Vb,F,ulog,1e-9,0.1,na,F,ulog,nb,1e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.64,16,deltaT,k*NA*(T**2)/H*nb/na,4,T,F,ulog,10.0,1000.0,H,F,ulog,1000,1e5,nb,F,ulog,1e-2,1000000.0,na,F,ulog,nb,1e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.77,17,deltaP,k*NA*T*r/M+k*NA*T*B*(r**2),4,T,F,ulog,10.0,1000.0,r,F,ulog,100,1e4,M,F,ulog,1,1000.0,B,F,ulog,0.1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.107,18,G,n1*k*NA*T*ln(y1)+n2*k*NA*T*ln(y2),5,n1,F,ulog,0.01,1000000.0,T,F,ulog,10,1000.0,y1,F,u,0,2.0,n2,F,ulog,1e-2,1e6,y2,F,u,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
4.114,19,m,mB*((K*V/(K*V+Va))**n),5,mB,F,u,0.0,100.0,K,F,ulog,0.1,100.0,V,F,ulog,1,10000.0,Va,F,ulog,0.1,100.0,n,I,u,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
5.16,20,lgP,1000/T+100*lg(T)+T+10,1,T,F,ulog,10.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.22,21,y,pa*xa/(pb+(pa-pb)*xa),3,pa,F,ulog,0.001,1000000.0,xa,F,u,0,1.0,pb,F,ulog,1e-3,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.23,22,n,pa/pb*Ma/Mb,4,pa,F,ulog,0.001,1000000.0,pb,F,ulog,1e-3,1e6,Ma,F,ulog,1,1000.0,Mb,F,ulog,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.20,23,K,fG*(fH**2)/((fD**3)*(fE**4))*(p**10),5,fG,F,ulog,0.001,1000000.0,fH,F,ulog,1e-3,1e6,fD,F,ulog,1e-3,1000000.0,fE,F,ulog,1e-3,1e6,p,F,ulog,0.001,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
6.52,24,I,ln(K)+H/(k*NA*T),3,K,F,ulog,9.999999999999999e-26,1e+25,H,F,ulog,1000,1e5,T,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.58',25,D,4*(a**2)/(1-(a**2)),1,a,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.59',26,K,(x**2)/(1-x)*(1/(10+x)),1,x,F,u,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.64,27,M,ln(T/298)-1+298/T,1,T,F,ulog,10.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6,28,t,Nn*ln(Nn)-Nn,1,Nn,I,ulog,1e+20,1e+25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.12,29,Nn,exp(a+b*t),3,a,F,u,0.0,1.0,b,F,ulog,0.1,1e10,t,F,ulog,1e-18,1e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.18,30,s,k*Nn*ln(exp(-e1/(k*T))+exp(-e2/(k*T))+exp(-e3/(k*T))),5,Nn,I,ulog,1e+20,1e+25,e1,F,ulog,1e-18,1e-16,T,F,ulog,10,1000.0,e2,F,ulog,1e-18,1e-16,e3,F,ulog,1e-18,1e-16,,,,,,,,,,,,,,,,,,,,,,,,,
7.18',31,e,(h**2)/(8*m*(V**(2/3)))*((nx**2)+(ny**2)+(nz**2)),5,m,F,ulog,1e-27,9.999999999999999e-26,V,F,u,0,1.0,nx,I,u,0,3.0,ny,I,u,0,3.0,nz,I,u,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
7.41,32,t,ln(sqrt(2/(pi*Nn))),1,Nn,I,ulog,1e+20,1e+25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.41',33,p,sqrt(2/(pi*Nn))*exp(-2*(m**2)/Nn),2,Nn,I,ulog,1e+20,1e+25,m,F,ulog,1e-5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.44,34,n,g/(exp(-a-b*t)-1),4,g,I,ulog,1.0,1000.0,a,F,u,-1000,1000.0,b,F,u,1,10000000000.0,t,F,ulog,1e-18,1e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.48,35,n,g/(exp(-a-b*t)+1),4,g,I,ulog,1.0,1000.0,a,F,u,-1000,1000.0,b,F,u,1,10000000000.0,t,F,ulog,1e-18,1e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.82,36,q,(2*pi*m*k*T/(h**2)),2,m,F,ulog,1e-27,9.999999999999999e-26,T,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.83,37,A,Nn*k*T*ln(Nn)-Nn*k*T,2,Nn,I,ulog,1e+20,1e+25,T,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.95',38,I,m1*m2/(m1+m2)*(r**2),3,m1,F,ulog,1e-27,9.999999999999999e-26,m2,F,ulog,1e-27,1e-25,r,F,ulog,1e-10,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.108,39,A,3*Nn*k*ln(1-exp(-h*v/(k*T))),3,Nn,I,ulog,1e+20,1e+25,v,F,ulog,1000,1e4,T,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.110,40,U,3*Nn*h*v*(1/(exp(h*v/(k*T))-1)),2,v,F,ulog,1000.0,10000.0,T,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.111,41,C,3*Nn*k*((h*v/(k*T))**2)*(exp(h*v/(k*T))/(exp(h*v/(k*T))-1)),2,v,F,ulog,1000.0,10000.0,T,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.112,42,C,3*k*NA*(x**2)*(exp(x)/(exp(x)-1)),1,x,F,ulog,1e-08,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.113,43,q,g1*exp(-e1/(k*T))*g2*exp(-e2/(k*T)),4,g1,I,ulog,1.0,100.0,e1,F,ulog,1e-18,1e-16,g2,I,ulog,1,100.0,e2,F,ulog,1e-18,1e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.123,44,G,-Nn*k*T*ln(q/Nn),3,Nn,I,ulog,1e+20,1e+25,T,F,ulog,10,1000.0,q,F,ulog,0.1,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1a,45,n,Q/(z*NA*qe),2,Q,F,ulog,1000.0,10000000.0,z,I,u,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.16,46,A,Am*(1-b*sqrt(c)),3,Am,F,ulog,0.001,0.1,b,F,ulog,0.1,1000,c,F,ulog,1e-6,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.27,47,K,c*A**2/(Am**2-Am*A),3,c,F,ulog,0.001,1.0,Am,F,ulog,1e-3,0.1,A,F,ulog,1e-3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.45,48,y,-A*z**2*sqrt(I),3,A,F,ulog,0.1,1.0,I,F,ulog,1e-3,100,z,I,u,1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.48,49,y,-A*z1*z2*sqrt(I)/(1+sqrt(I-1)),4,z1,I,u,1.0,7.0,z2,I,u,1,7,A,F,ulog,0.1,1.0,I,F,ulog,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.63d,50,k,sqrt(8*pi*qe**2*NA*r/(epsilon*k*T)*sqrt(I)),4,r,F,ulog,100.0,10000.0,epsilon,F,ulog,1e-12,1e-10,T,F,ulog,10,1000.0,I,F,ulog,1e-3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.70,51,F,z*qe*la/(epsilon*r)-z*qe*k*la**2/epsilon,5,z,I,u,1.0,7.0,la,F,u,0,1,epsilon,F,ulog,1e-12,1e-10,r,F,ulog,1e-10,1e-8,k,F,ulog,1e-7,0.001,,,,,,,,,,,,,,,,,,,,,,,,,
9.8,52,E,-k*T/(z*qe)*ln(a1**2*a2**2/(a3*a4)),6,T,F,ulog,10.0,1000.0,z,I,u,1,7,a1,F,ulog,0.01,10.0,a2,F,ulog,0.01,10,a3,F,ulog,0.01,10.0,a4,F,ulog,0.01,10.0,,,,,,,,,,,,,,,,,,,,
9.30,53,K,exp(z*E*qe/(k*T)),3,z,I,u,1.0,7.0,E,F,u,-10,10,T,F,ulog,10,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.8'&11.63,54,r,c*A*exp(-E/(k*NA*T)),4,c,F,ulog,0.01,1.0,A,F,ulog,1e8,1e13,E,F,ulog,1e4,100000.0,T,F,ulog,10,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.9,55,t,1/k*ln(1/(1-y)),2,k,F,ulog,1e-08,0.0001,y,F,u,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.26,56,t,y/((1-y)*a*k),3,y,F,u,0.0,1.0,a,F,ulog,0.01,10,k,F,ulog,1e-8,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.33,57,t,0.5*y*(2-y)/((1-y)**2)*1/(t*a**2),3,y,F,u,0.0,1.0,a,F,ulog,0.01,10,k,F,ulog,1e-8,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.41,58,t,A*a**(1-n),2,A,F,ulog,0.1,1000.0,n,I,u,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.51,59,t,1/(k1+k2)*ln(a/(a-x)),4,k1,F,ulog,1e-08,0.0001,k2,F,ulog,1e-8,1e-4,a,F,ulog,x,10.0,x,F,ulog,0.01,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.60,60,z,a*(1-k2/(k2-k1)*exp(-k1*t)+k1/(k2-k1)*exp(-k2*t)),3,a,F,ulog,0.01,10.0,k1,F,ulog,1e-8,1e-4,k2,F,ulog,1e-8,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.68,61,r,A*T**m*exp(-E/(k*NA*T)),4,m,I,u,1.0,4.0,A,F,ulog,1e8,1e13,E,F,ulog,1e4,100000.0,T,F,ulog,10,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ch11.10,62,c,0.5*k1/k3+sqrt((0.5*k1/k3)**2+k1*k4/(k3*k5)),4,k1,F,ulog,1e-08,0.0001,k3,F,ulog,1e-8,1e-4,k4,F,ulog,1e-8,0.0001,k5,F,ulog,1e-8,1e-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.2,63,Z,2*pi*d**2*sqrt(NA*k*T/(pi*M))*n**2,4,d,F,ulog,1e-10,1e-07,T,F,ulog,10,1000,M,F,ulog,1,100.0,n,I,ulog,1e23,1e25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.16,64,sig,pi*d**2*(1-2*epsilon/(M*u**2)),4,d,F,ulog,1e-10,1e-07,epsilon,F,ulog,50,5e7,M,F,ulog,1,100.0,u,F,ulog,10,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
