Filename,Number,Output,Formula,variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high
1.1,1,pV,n*k*NA*T,2,n,1,5,T,250,1500,,,,,,,,,,,,,,,,,,,,,,,,
1.2,2,u2,u_x**2+u_y**2+u_z**2,3,u_x,-700,700,u_y,-700,700,u_z,-700,700,,,,,,,,,,,,,,,,,,,,,
1.21,3,f,4/sqrt(pi)*((m/(2*k*T))**(3/2))*exp(-m*(v**2)/(2*k*T))*(v**2),3,m,1e-23,100e-23,T,250,1500,v,-1000,1000,,,,,,,,,,,,,,,,,,,,,
1.34,4,f,a*exp(-(b**2)*(v**2)),3,a,-1000,1000,b,-1000,1000,v,-700,700,,,,,,,,,,,,,,,,,,,,,
1.41,5,B,sqrt(m/(2*k*T)),2,m,1e-23,100e-23,T,250,1500,,,,,,,,,,,,,,,,,,,,,,,,
1.48,6,f,2/sqrt(pi)*((1/(k*T))**(3/2))*exp(-m*(v**2)/(2*k*T))*(sqrt(1/2*m*(v**2))),3,m,1e-23,100e-23,T,250,1500,v,-1000,1000,,,,,,,,,,,,,,,,,,,,,
1.50,7,n,exp(-1/2*m*(v**2)/(k*T)),3,m,1e-23,100e-23,T,250,1500,v,-1000,1000,,,,,,,,,,,,,,,,,,,,,
1.52,8,p,P*exp(-m*g*h/(k*T)),4,P,1e5,1e8,m,1e-23,100e-23,h,0,1000,T,250,1500,,,,,,,,,,,,,,,,,,
1.60,9,z,p/sqrt(2*pi*m*k*T),3,p,1e5,1e8,m,1e-23,100e-23,T,250,1500,,,,,,,,,,,,,,,,,,,,,
1.66,10,RT,(p+(1.9029/(V**2)))*(V-1.208),2,p,1e5,1e8,V,1e-9,10,,,,,,,,,,,,,,,,,,,,,,,,
2.36,11,n,1+q/Q,2,q,-100,-1e-5,Q,-q,100,,,,,,,,,,,,,,,,,,,,,,,,
3.22,12,s,n*k*NA*ln(v/V),3,n,1,1000,v,1e-9,10,V,1e-9,10,,,,,,,,,,,,,,,,,,,,,
3.91,13,c,1943*(T**3)/(theta**3),2,T,250,1000,theta,0,3000,,,,,,,,,,,,,,,,,,,,,,,,
4.12',14,V,1002.93+23.189*m+2.197*(m**(3/2))-0.178*(m**2),1,m,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.12'',15,Va,(V-nb*Vb)/na,4,V,1e-9,10,nb,1e-2,1e6,Vb,1e-9,10,na,nb,1e6,,,,,,,,,,,,,,,,,,
4.46,16,deltaT,k*NA*(T**2)/H*nb/na,4,T,250,1000,H,1000,1e5,nb,1e-2,1e6,na,nb,1e6,,,,,,,,,,,,,,,,,,
4.77,17,deltaP,k*NA*T*r/M+k*NA*T*1.8201*(r**2),3,T,250,1000,r,100,1e4,M,1e-3,1,,,,,,,,,,,,,,,,,,,,,
4.107,18,G,n1*k*NA*T*ln(y1)+n2*k*NA*T*ln(y2),5,n1,1e-2,1e6,T,250,1000,y1,0,2,n2,1e-2,1e6,y2,0,2,,,,,,,,,,,,,,,
4.114,19,m,mB*((K*V/(K*V+Va))**n),5,mB,0,100,K,0,100,V,0,1e4,Va,0,100,n,0,4,,,,,,,,,,,,,,,
5.16,20,lgP,1000/T+100*lg(T)+T+10,1,T,250,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.22,21,y,pa*xa/(pb+(pa-pb)*xa),3,pa,1e-3,1e6,xa,0,1,pb,1e-3,1e6,,,,,,,,,,,,,,,,,,,,,
5.23,22,n,pa/pb*Ma/Mb,4,pa,1e-3,1e6,pb,1e-3,1e6,Ma,1e-3,1,Mb,1e-3,1,,,,,,,,,,,,,,,,,,
6.20,23,K,fG**(fH**2)/((fD**3)*(fE**4))*(p**4),5,fG,1e-3,1e6,fH,1e-3,1e6,fD,1e-3,1e6,fE,1e-3,1e6,p,1e-3,1e6,,,,,,,,,,,,,,,
6.52,24,I,ln(K)+H/(k*NA*T),3,K,1e-30,1e30,H,1000,1e5,T,250,1000,,,,,,,,,,,,,,,,,,,,,
6.58',25,D,4*(a**2)/(1-(a**2)),1,a,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.59',26,K,(x**2)/(1-x)*(1/(10+x)),1,x,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.64,27,M,ln(T/298)-1+298/T,1,T,250,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6,28,t,exp((Nn**2))-Nn,1,Nn,0,1e25,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.12,29,Nn,exp(a+b*t),3,a,0,1000,b,0,1000,t,0,1e4,,,,,,,,,,,,,,,,,,,,,
7.18,30,s,k*Nn*ln(exp(-e1/(k*T))+exp(-e2/(k*T))+exp(-e3/(k*T))),5,Nn,0,1e25,e1,1e-19,1e-16,T,250,1000,e2,1e-19,1e-16,e3,1e-19,1e-16,,,,,,,,,,,,,,,
7.18',31,e,(h**2)/(8*m*(V**(2/3)))*((nx**2)+(ny**2)+(nz**2)),5,m,1e-23,100e-23,V,0,1,nx,0,3,ny,0,3,nz,0,3,,,,,,,,,,,,,,,
7.41,32,t,ln(sqrt(2/(pi*Nn))),1,Nn,10,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.41',33,p,sqrt(2/(pi*Nn))*exp(-2*(m**2)/Nn),2,Nn,10,1000,m,0,1e-2,,,,,,,,,,,,,,,,,,,,,,,,
7.44,34,n,g/(exp(-a-b*t)-1),4,g,0,1000,a,-1000,100,b,-1000,100,t,0,1e4,,,,,,,,,,,,,,,,,,
7.48,35,n,g/(exp(-a-b*t)+1),4,g,0,1000,a,-1000,100,b,-1000,100,t,0,1e4,,,,,,,,,,,,,,,,,,
7.82,36,q,(2*pi*m*k*T/(h**2)),2,m,1e-23,100e-23,T,250,1000,,,,,,,,,,,,,,,,,,,,,,,,
7.83,37,A,Nn*k*T*ln(Nn)-Nn*k*T,2,Nn,0,1e25,T,250,1000,,,,,,,,,,,,,,,,,,,,,,,,
7.95',38,I,m1*m2/(m1+m2)*(r**2),3,m1,1e-23,100e-23,m2,1e-23,100e-23,r,0,1,,,,,,,,,,,,,,,,,,,,,
7.108,39,A,3*Nn*k*ln(1-exp(-h*v/(k*T))),3,Nn,0,1e25,v,100,1e4,T,250,1000,,,,,,,,,,,,,,,,,,,,,
7.110,40,U,3*Nn*h*v*(1/(exp(h*v/(k*T))-1)),2,v,100,1e4,T,250,1000,,,,,,,,,,,,,,,,,,,,,,,,
7.111,41,C,3*Nn*k*((h*v/(k*T))**2)*(exp(h*v/(k*T))/(exp(h*v/(k*T))-1)),2,v,100,1e4,T,250,1000,,,,,,,,,,,,,,,,,,,,,,,,
