,0
field,che
vars_num,"[0, 9, 18, 35, 40, 21, 4, 3, 2]"
const_num,18
number_num,331
sample_distribution,"{'ulog': 385, 'u': 100}"
len,"[0, 1, 4, 13, 12, 19, 19, 10, 8, 8, 7, 9, 6, 4, 0, 1, 4, 2, 2, 1, 1, 1]"
ave_len,7.674242424242424
max_len,21
min_len,1
biop,"[0, 3, 9, 14, 13, 25, 15, 11, 4, 7, 8, 5, 3, 5, 0, 2, 5, 0, 1, 1, 1]"
unop,"[0, 50, 19, 4, 2]"
biop_coff,"[1.5, 1.6666666666666667, 5.333333333333333, 1.6666666666666667, 1.5, 6.0, 2.3333333333333335, 1.5, 1.6666666666666667, 2.5, 1.0, 1.3333333333333333, 2.0, 9.0, 0.75, 1.5, 2.5, 1.8, 1.2, 5.0, 1.6666666666666667, 0.75, 1.6, 1.3333333333333333, 5.0, 6.0, 4.0, 2.0, 0.6666666666666666, 2.6, 2.4, 2.0, 3.5, 1.25, 1.25, 3.0, 1.6666666666666667, 2.6666666666666665, 3.0, 5.333333333333333, 7.0, 1.8, 1.5, 1.0, 2.0, 1.3333333333333333, 1.75, 2.25, 2.0, 1.6666666666666667, 1.6666666666666667, 1.5, 2.0, 1.3333333333333333, 2.5, 1.0, 1.25, 3.25, 1.75, 2.5, 2.5, 2.0, 2.75, 0.6666666666666666, 1.6666666666666667, 1.25, 1.0, 1.25, 2.0, 1.0, 2.25, 2.0, 2.142857142857143, 1.5714285714285714, 1.5, 2.2, 2.142857142857143, 3.1666666666666665, 1.5, 4.0, 1.6666666666666667, 0.75, 1.2, 4.0, 1.3333333333333333, 0.6666666666666666, 0.5, 1.0, 0.8, 0.875, 1.6666666666666667, 2.5, 3.5, 1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 3.0, 3.25, 3.25, 3.25, 3.2, 1.5, 0.875, 2.2, 1.3333333333333333, 4.0, 2.4, 1.6, 2.0, 1.25, 1.75, 1.5, 0.75, 0.8333333333333334, 1.25, 1.5, 0.5, 2.5, 1.4, 1.4, 1.3333333333333333, 1.5, 3.6666666666666665, 1.25, 1.0, 1.5, 1.2, 1.6666666666666667, 1.5, 1.5, 1.0]"
unop_coff,"[0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.5, 1.0, 0.3333333333333333, 0.25, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 1.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 1.0, 1.0, 0.3333333333333333, 0.8, 0.0, 2.0, 1.0, 0.25, 0.25, 0.5, 0.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 2.0, 0.4, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.5, 0.5, 0.0, 0.16666666666666666, 0.3333333333333333, 0.25, 0.5, 0.0, 0.0, 0.0, 0.25, 0.5, 0.25, 0.25, 0.25, 0.0, 0.5, 0.6666666666666666, 0.0, 0.0, 0.25, 0.25, 1.0, 0.0, 0.0, 0.0, 0.2857142857142857, 0.14285714285714285, 0.25, 0.2, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.25, 0.2, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 1.5, 0.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.125, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.2, 0.25, 0.5, 0.3333333333333333, 0.25, 0.3333333333333333, 0.25, 0.5, 0.5, 0.0, 0.2, 0.0, 0.0, 0.0, 0.3333333333333333, 1.0, 0.5, 0.0, 0.6, 0.0, 0.5, 0.25, 0.0]"
fre,"{'+': 94, '-': 101, '*': 419, '/': 179, '**': 112, 'sqrt': 40, 'exp': 33, 'sin': 0, 'cos': 1, 'tan': 1, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 13, 'lg': 19, 'asin': 0, 'acos': 1, 'atan': 0, 'abs': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'pi': 18}"
exp_len,"[2, 0, 4, 11, 3, 4, 3, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
exp_fre,"{'+': 4, '-': 30, '*': 89, '/': 31, '**': 12, 'sqrt': 2, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'asin': 0, 'acos': 0, 'atan': 0, 'abs': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'pi': 2, 'const': 0, 'var': 33}"
lg_len,"[9, 3, 3, 1, 0, 2, 1]"
lg_fre,"{'+': 3, '-': 3, '*': 11, '/': 11, '**': 2, 'sqrt': 3, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'asin': 0, 'acos': 0, 'atan': 0, 'abs': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'pi': 0, 'const': 0, 'var': 19}"
ln_len,"[5, 2, 3, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
ln_fre,"{'+': 2, '-': 7, '*': 12, '/': 10, '**': 2, 'sqrt': 1, 'exp': 4, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'asin': 0, 'acos': 0, 'atan': 0, 'abs': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'pi': 1, 'const': 0, 'var': 13}"
sqrt_len,"[19, 3, 4, 3, 5, 2, 2, 0, 1, 1]"
sqrt_fre,"{'+': 5, '-': 3, '*': 56, '/': 15, '**': 5, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'asin': 0, 'acos': 0, 'atan': 0, 'abs': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'pi': 8, 'const': 2, 'var': 38}"
**_len,"[110, 2]"
**_fre,"{'+': 0, '-': 1, '*': 0, '/': 1, '**': 0, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'asin': 0, 'acos': 0, 'atan': 0, 'abs': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'pi': 0, 'const': 104, 'var': 8}"
