,0
field,che
vars_num,"[0, 9, 21, 34, 39, 20, 5, 3, 1]"
const_num,219
sample_distribution,"{'ulog': 377, 'u': 100}"
len,"[0, 1, 4, 10, 10, 15, 10, 14, 9, 7, 8, 7, 9, 3, 2, 6, 1, 4, 1, 1, 1, 0, 4, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
ave_len,9.363636363636363
max_len,37
min_len,1
fre,"{'+': 94, '-': 101, '*': 418, '/': 179, '**': 112, 'sqrt': 40, 'exp': 33, 'sin': 0, 'cos': 2, 'tan': 1, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 13, 'lg': 19, 'G': 1, 'c': 14, 'epsilon0': 0, 'g': 25, 'h': 11, 'k': 137, 'qe': 8, 'mew0': 0, 'NA': 20, 'F': 3, 'Bohr': 0}"
exp_len,"[2, 0, 4, 11, 4, 3, 3, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
exp_fre,"{'+': 4, '-': 30, '*': 88, '/': 31, '**': 12, 'sqrt': 2, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 2, 'h': 5, 'k': 25, 'qe': 1, 'mew0': 0, 'NA': 4, 'F': 0, 'Bohr': 0, 'const': 0, 'var': 33}"
lg_len,"[9, 3, 3, 1, 0, 2, 1]"
lg_fre,"{'+': 3, '-': 3, '*': 11, '/': 11, '**': 2, 'sqrt': 3, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'G': 0, 'c': 4, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'const': 0, 'var': 19}"
ln_len,"[5, 2, 3, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
ln_fre,"{'+': 2, '-': 7, '*': 12, '/': 10, '**': 2, 'sqrt': 1, 'exp': 4, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 1, 'k': 4, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'const': 0, 'var': 13}"
sqrt_len,"[19, 3, 4, 3, 5, 2, 2, 0, 1, 1]"
sqrt_fre,"{'+': 5, '-': 3, '*': 56, '/': 15, '**': 5, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 16, 'qe': 2, 'mew0': 0, 'NA': 2, 'F': 0, 'Bohr': 0, 'const': 2, 'var': 38}"
**_len,"[110, 2]"
**_fre,"{'+': 0, '-': 1, '*': 0, '/': 1, '**': 0, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'const': 104, 'var': 8}"
