,0
field,phy
vars_num,"[0, 6, 19, 28, 22, 11, 3, 1, 1]"
const_num,131
number_num,249
sample_distribution,"{'ulog': 337, 'u': 38}"
len,"[0, 3, 1, 10, 9, 6, 11, 8, 10, 4, 7, 5, 3, 4, 2, 1, 3, 2, 0, 1, 1]"
ave_len,7.868131868131868
max_len,20
min_len,1
biop,"[0, 4, 4, 9, 9, 10, 11, 12, 5, 5, 4, 5, 3, 1, 2, 2, 2, 1, 0, 2]"
unop,"[0, 35, 13, 2]"
biop_coff,"[5.0, 3.5, 2.6666666666666665, 1.25, 1.375, 2.5, 0.8333333333333334, 0.5, 2.3333333333333335, 3.0, 0.8, 2.0, 1.5, 2.0, 2.3333333333333335, 3.0, 1.25, 0.6666666666666666, 0.75, 2.5, 0.5, 0.5, 1.3333333333333333, 1.0, 2.0, 2.3333333333333335, 0.6666666666666666, 4.0, 4.25, 0.75, 3.0, 1.6666666666666667, 4.5, 1.3333333333333333, 1.5, 7.5, 1.6666666666666667, 1.0, 0.6666666666666666, 1.5, 0.8, 2.3333333333333335, 2.2, 2.6666666666666665, 3.5, 3.0, 1.2, 1.2, 1.5, 3.0, 1.0, 3.5, 3.0, 2.0, 1.3333333333333333, 1.0, 2.25, 1.25, 2.2, 1.0, 3.5, 5.0, 2.5, 3.2, 1.5, 2.3333333333333335, 1.25, 1.3333333333333333, 1.3333333333333333, 1.0, 5.0, 3.0, 2.3333333333333335, 1.75, 1.8, 2.3333333333333335, 1.7142857142857142, 3.0, 3.5, 4.333333333333333, 3.0, 2.5, 4.75, 2.4, 2.2, 3.0, 2.2, 2.3333333333333335, 3.3333333333333335, 4.0, 6.333333333333333]"
unop_coff,"[2.0, 1.0, 0.6666666666666666, 0.25, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.25, 0.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.25, 0.5, 0.0, 0.25, 0.3333333333333333, 0.5, 0.0, 0.3333333333333333, 0.2, 0.6666666666666666, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.3333333333333333, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.25, 0.0, 0.0, 0.5, 0.5, 0.5, 0.2, 0.25, 0.0, 0.25, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.25, 0.3333333333333333, 0.25, 0.2, 0.3333333333333333, 0.14285714285714285, 0.3333333333333333, 0.5, 0.0, 1.5, 0.75, 0.0, 0.4, 0.2, 0.6666666666666666, 0.2, 0.0, 0.0, 0.0, 0.3333333333333333]"
fre,"{'+': 45, '-': 53, '*': 285, '/': 143, '**': 123, 'sqrt': 20, 'exp': 10, 'sin': 14, 'cos': 18, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 1, 'ln': 1, 'lg': 0, 'asin': 2, 'acos': 1, 'atan': 0, 'abs': 0, 'G': 9, 'c': 30, 'epsilon0': 16, 'g': 1, 'h': 16, 'k': 14, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'pi': 35, 'alpha': 2, 'me': 8}"
exp_len,"[0, 0, 0, 2, 2, 5, 1]"
exp_fre,"{'+': 0, '-': 6, '*': 24, '/': 15, '**': 3, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'asin': 0, 'acos': 0, 'atan': 0, 'abs': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 1, 'h': 3, 'k': 7, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'pi': 3, 'alpha': 0, 'me': 0, 'const': 0, 'var': 10}"
lg_len,[0]
lg_fre,"{'+': 0, '-': 0, '*': 0, '/': 0, '**': 0, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'asin': 0, 'acos': 0, 'atan': 0, 'abs': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'pi': 0, 'alpha': 0, 'me': 0, 'const': 0, 'var': 0}"
ln_len,"[0, 1]"
ln_fre,"{'+': 0, '-': 0, '*': 0, '/': 1, '**': 0, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'asin': 0, 'acos': 0, 'atan': 0, 'abs': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'pi': 0, 'alpha': 0, 'me': 0, 'const': 0, 'var': 1}"
sqrt_len,"[3, 1, 2, 0, 0, 1, 3, 1, 1, 2, 1, 3, 0, 1, 0, 0, 1]"
sqrt_fre,"{'+': 10, '-': 13, '*': 98, '/': 12, '**': 35, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 2, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'asin': 0, 'acos': 0, 'atan': 0, 'abs': 0, 'G': 2, 'c': 8, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'pi': 2, 'alpha': 0, 'me': 0, 'const': 3, 'var': 17}"
**_len,[123]
**_fre,"{'+': 0, '-': 0, '*': 0, '/': 0, '**': 0, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'asin': 0, 'acos': 0, 'atan': 0, 'abs': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'pi': 0, 'alpha': 0, 'me': 0, 'const': 123, 'var': 0}"
