,0
field,phy
vars_num,"[0, 6, 20, 28, 22, 11, 3, 1, 1]"
const_num,195
sample_distribution,"{'ulog': 337, 'u': 38}"
len,"[0, 3, 0, 8, 9, 8, 4, 4, 5, 5, 9, 3, 3, 4, 5, 2, 4, 2, 2, 0, 1, 2, 3, 2, 1, 0, 0, 0, 0, 2, 0, 0, 1]"
ave_len,10.576086956521738
max_len,32
min_len,1
fre,"{'+': 45, '-': 53, '*': 290, '/': 145, '**': 124, 'sqrt': 20, 'exp': 10, 'sin': 16, 'cos': 19, 'tan': 1, 'sinh': 0, 'cosh': 0, 'tanh': 1, 'ln': 1, 'lg': 0, 'G': 11, 'c': 49, 'epsilon0': 17, 'g': 35, 'h': 63, 'k': 20, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0}"
exp_len,"[0, 0, 0, 2, 2, 5, 1]"
exp_fre,"{'+': 0, '-': 6, '*': 24, '/': 15, '**': 3, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 6, 'h': 7, 'k': 7, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'const': 0, 'var': 10}"
lg_len,[0]
lg_fre,"{'+': 0, '-': 0, '*': 0, '/': 0, '**': 0, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'const': 0, 'var': 0}"
ln_len,"[0, 1]"
ln_fre,"{'+': 0, '-': 0, '*': 0, '/': 1, '**': 0, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'const': 0, 'var': 1}"
sqrt_len,"[3, 1, 2, 0, 0, 1, 3, 1, 1, 2, 1, 3, 0, 1, 0, 0, 1]"
sqrt_fre,"{'+': 10, '-': 13, '*': 98, '/': 12, '**': 35, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 2, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'G': 3, 'c': 10, 'epsilon0': 0, 'g': 1, 'h': 6, 'k': 1, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'const': 3, 'var': 17}"
**_len,[124]
**_fre,"{'+': 0, '-': 0, '*': 0, '/': 0, '**': 0, 'sqrt': 0, 'exp': 0, 'sin': 0, 'cos': 0, 'tan': 0, 'sinh': 0, 'cosh': 0, 'tanh': 0, 'ln': 0, 'lg': 0, 'G': 0, 'c': 0, 'epsilon0': 0, 'g': 0, 'h': 0, 'k': 0, 'qe': 0, 'mew0': 0, 'NA': 0, 'F': 0, 'Bohr': 0, 'const': 124, 'var': 0}"
