Filename,Number,Output,Formula,variables,v1_name,v1_type,v1_sample_type,v1_low,v1_high,v2_name,v2_type,v2_sample_type,v2_low,v2_high,v3_name,v3_type,v3_sample_type,v3_low,v3_high,v4_name,v4_type,v4_sample_type,v4_low,v4_high,v5_name,v5_type,v5_sample_type,v5_low,v5_high,v6_name,v6_type,v6_sample_type,v6_low,v6_high,v7_name,v7_type,v7_sample_type,v7_low,v7_high,v8_name,v8_type,v8_sample_type,v8_low,v8_high,v9_name,v9_type,v9_sample_type,v9_low,v9_high,v10_name,v10_type,v10_sample_type,v10_low,v10_high
!I.6.20a,1,f,exp(-theta**2/2)/sqrt(2*pi),1,theta,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.6.20,2,f,exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),2,sigma,F,ulog,0.1,10,theta,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.6.20b,3,f,exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),3,sigma,F,ulog,0.1,10,theta,F,ulog,0.1,10,theta1,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.8.14,4,d,sqrt((x2-x1)**2+(y2-y1)**2),4,x1,F,ulog,0.1,10,x2,F,ulog,0.1,10,y1,F,ulog,0.1,10,y2,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.9.18,5,F,G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),8,m1,F,ulog,1,1e3,m2,F,ulog,1,1e3,x1,F,ulog,1.0,10,x2,F,ulog,1.0,10,y1,F,ulog,0,10,y2,F,ulog,1.0,10,z1,F,ulog,1.0,10.0,z2,F,ulog,1.0,10.0,,,,,,,,,,
!I.10.7,6,m,m_0/sqrt(1-v**2/c**2),2,m_0,F,ulog,0.1,10,v,F,ulog,1e5,1e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!I.11.19,7,A,x1*y1+x2*y2+x3*y3,6,x1,F,ulog,0.1,10,x2,F,ulog,0.1,10,x3,F,ulog,0.1,10,y1,F,ulog,0.1,10,y2,F,ulog,0.1,10,y3,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,
#I.12.1,8,F,mu*Nn,2,mu,F,ulog,0.1,1,Nn,F,ulog,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?qrI.12.2,10,F,q1*q2*r/(4*pi*epsilon0*r**3),3,q1,F,ulog,1e-19,0.1,q2,F,ulog,1e-19,0.1,r,F,ulog,1e-11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?qrI.12.4,11,Ef,q1*r/(4*pi*epsilon0*r**3),2,q1,F,ulog,1e-19,0.1,r,F,ulog,1e-11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?qI.12.5,12,F,q2*Ef,2,q2,F,ulog,1e-19,0.1,Ef,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?qI.12.11,13,F,q*(Ef+B*v*sin(theta)),5,q,F,ulog,1e-19,10,Ef,F,ulog,0.1,10,B,F,ulog,0.1,10,v,F,ulog,0.1,10,theta,F,u,0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,
!I.13.4,9,K,1/2*m*(v**2+u**2+w**2),4,m,F,ulog,0.01,1,v,F,ulog,0.1,10,u,F,ulog,0.1,10,w,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
