,Filename,Number,Output,Formula,variables,v1_name,v1_type,v1_sample_type,v1_low,v1_high,v2_name,v2_type,v2_sample_type,v2_low,v2_high,v3_name,v3_type,v3_sample_type,v3_low,v3_high,v4_name,v4_type,v4_sample_type,v4_low,v4_high,v5_name,v5_type,v5_sample_type,v5_low,v5_high,v6_name,v6_type,v6_sample_type,v6_low,v6_high,v7_name,v7_type,v7_sample_type,v7_low,v7_high,v8_name,v8_type,v8_sample_type,v8_low,v8_high,v9_name,v9_type,v9_sample_type,v9_low,v9_high,v10_name,v10_type,v10_sample_type,v10_low,v10_high
0,!I.6.20a,1,f,exp(-theta**2/2)/sqrt(2*pi),1,theta,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,!I.6.20,2,f,exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),2,sigma,F,ulog,0.1,10,theta,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,!I.6.20b,3,f,exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),3,sigma,F,ulog,0.1,10,theta,F,ulog,0.1,10,theta1,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,!I.8.14,4,d,sqrt((X2-X1)**2+(y2-y1)**2),4,X1,F,ulog,0.1,10,X2,F,ulog,0.1,10,y1,F,ulog,0.1,10,y2,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,!I.9.18,5,F,G*m1*m2/((X2-X1)**2+(y2-y1)**2+(z2-z1)**2),8,m1,F,ulog,1.0,1e3,m2,F,ulog,1,1e3,X1,F,ulog,1.0,10,X2,F,ulog,1.0,10,y1,F,ulog,1,10,y2,F,ulog,1.0,10,z1,F,ulog,1.0,10.0,z2,F,ulog,1.0,10.0,,,,,,,,,,
5,!I.10.7,6,m,m_0/sqrt(1-v**2/c**2),2,m_0,F&F&F&F&F&F,ulog&ulog&ulog&ulog&ulog&ulog,0.1&1000.00000000000&1003335640.95198&8.98755178736818e-13&1.00000000000000e+27&1.00000000000000e+33,10&100000000.000000&133356409519.815&8.98755178736818e-11&1.00000000000000e+29&1.00000000000000e+37,v,F&F&F&F&F&F,ulog&ulog&ulog&ulog&ulog&ulog,1e5&100000.000000000&1000000.00000000&1000000.00000000&1000000.00000000&1000000.00000000,1e8&100000000.000000&100000000.000000&100000000.000000&100000000.000000&100000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,!I.11.19,7,A,X1*y1+X2*y2+X3*y3,6,X1,F,ulog,0.1,10,X2,F,ulog,0.1,10,X3,F,ulog,0.1,10,y1,F,ulog,0.1,10,y2,F,ulog,0.1,10,y3,F,ulog,0.1,10.0,,,,,,,,,,,,,,,,,,,,
7,#I.12.1,8,F,mu*Nn,2,mu,F&F&F&F&F&F,ulog&ulog&ulog&ulog&ulog&ulog,0.1&1.00000000000000e-19&0.100000000000000&10000.0000000000&10000000000000.0&1.00000000000000e-11,1&0.100000000000000&10.0000000000000&1000000.00000000&1.00000000000000e+15&1.00000000000000e-9,Nn,F&F&F&F&F&F,ulog&ulog&ulog&ulog&ulog&ulog,1&0.100000000000000&0.980665000000000&1.50000000000000e-5&1.38064900000000e-22&1.89650431249346e+31,100&10.0000000000000&98.0665000000000&0.00150000000000000&1.38064900000000e-20&1.89650431249346e+33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,?qrI.12.2,9,F,q1*q2*r/(4*pi*epsilon0*r**3),3,q1,F,ulog,1e-19,0.1,q2,F,ulog,1e-19,0.1,r,F,ulog,1e-11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,?qrI.12.4,10,Ef,q1*r/(4*pi*epsilon0*r**3),2,q1,F&F,ulog&ulog,1e-19&8.85418782000000e-12,0.1&8.85418782000000e-10,r,F&F,ulog&ulog,1e-11&0.0100000000000000,1&1.00000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,?qI.12.11,11,F,q*(Ef+B*v*sin(theta)),5,q,F,ulog,1e-19,10,Ef,F,ulog,0.1,10,B,F,ulog,0.1,10,v,F,ulog,0.1,10,theta,F,u,0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,
12,!I.13.4,12,K,1/2*m*(v**2+u**2+w**2),4,m,F,ulog,0.01,1,v,F,ulog,0.1,10,u,F,ulog,0.1,10,w,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,?mrI.13.12,13,U,G*m1*m2*(1/r2-1/r1),4,m1,F,ulog,0.0001,1e31,m2,F,ulog,1e-4,1e31,r1,F,ulog,0.01,1e17,r2,F,ulog,0.01,1e17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,!I.14.4,14,U,1/2*k_spring*x**2,2,k_spring,F,ulog,0.01,1000,x,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,!I.15.3x,15,X1,(x-u*t)/sqrt(1-u**2/c**2),3,x,F&F,ulog&ulog,1.0&1.00000000000000e-6,10&0.000100000000000000,u,F&F,ulog&ulog,1e5&1000000.00000000,1e7&100000000.000000,t,F&F,ulog&ulog,1e-06&1.11265005605362e-17,1e-4&1.11265005605362e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,!I.16.6,16,v1,(u+v)/(1+u*v/c**2),2,v,F,ulog,100000.0,1e8,u,F,ulog,1e5,1e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,!I.18.4,17,r,(m1*r1+m2*r2)/(m1+m2),4,m1,F,ulog,0.1,10,m2,F,ulog,0.1,10,r1,F,ulog,0.1,10,r2,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,#I.18.12,18,tau,r*F*sin(theta),3,r,F,ulog,0.1,10,F,F,ulog,0.1,100,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,#I.18.16,19,L,m*r*v*sin(theta),4,m,F,ulog,0.1,10,r,F,ulog,0.1,10,v,F,ulog,1.0,1000,theta,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,!I.24.6,20,E_n,1/2*m*(omega**2+omega_0**2)*1/2*x**2,4,m,F,ulog,0.1,10,omega,F,ulog,0.1,10,omega_0,F,ulog,0.1,10,x,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,#I.25.13,21,Volt,q/C,2,q,F&F&F&F&F&F&F,ulog&ulog&ulog&ulog&ulog&ulog&ulog,0.001&1000000000.00000&0.00100000000000000&112940906.645461&0.00100000000000000&1.00000000000000e-11&0.100000000000000,0.1&100000000000.000&0.100000000000000&11294090664.5461&0.100000000000000&1.00000000000000e-9&10.0000000000000,C,F&F&F&F&F&F&F,ulog&ulog&ulog&ulog&ulog&ulog&ulog,1e-12&0.966643590480185&1.11265005635265e-12&2.00000000000000&5000.00000134378&18965.0431249346&2.02000000000000,1e-4&0.999666435904802&1.11265005635265e-10&101.000000000000&500000.000134378&1896504.31249346&4.00000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,#I.26.2,22,theta1,asin(n*sin(theta2)),2,n,F,u,1.0,4,theta2,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,#I.27.6,23,foc,1/(1/d1+n/d2),3,d1,F,ulog,0.1,10,d2,F,ulog,0.1,10,n,F,u,1.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,!I.29.4,24,k,omega/c,1,omega,F,ulog,1000000000.0,1e11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,!I.29.16,25,x,sqrt(X1**2+X2**2-2*X1*X2*cos(theta1-theta2)),4,X1,F,ulog,0.1,10,X2,F,ulog,0.1,10,theta1,F,u,0.0,2*pi,theta2,F,u,0.0,2*pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,!I.30.3,26,Int,Int_0*sin(n*theta/2)**2/sin(theta/2)**2,3,Int_0,F,ulog,0.001,0.1,theta,AF,u,-2*pi,2*pi,n,I,ulog,10.0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,!I.30.5,27,theta,asin(lambd/(n*d)),3,lambd,F,ulog,1e-11,1e-9,d,F,ulog,1e-13,1e-7,n,I,ulog,1.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,?aI.32.5,28,Pwr,q**2*a**2/(6*pi*epsilon0*c**3),2,q,F,ulog,0.001,0.1,a,F,ulog,0.1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,!I.32.17,29,Pwr,(1/2*epsilon0*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),4,Ef,F,ulog,10.0,1e3,r,F,ulog,1e-2,1,omega,F,ulog,1000000000.0,1e11,omega_0,F,ulog,1000000000.0,1e11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,!I.34.8,30,omega,q*v*B/p,4,q,F&F&F&F&F,ulog&ulog&u&ulog&ulog,1e-11&1.00000000000000e-6&-1.00000000000000&0.100000000000000&-1.00000000000000e-9,1e-9&0.000100000000000000&1.00000000000000&10.0000000000000&-1.00000000000000e-11,v,F&F&F&F&F,ulog&ulog&ulog&ulog&ulog,1e5&1.00000000000000e-11&1.00000000000000e-11&0.00100000000000000&-1.00000000000000e+29,1e7&1.00000000000000e-9&1.00000000000000e-9&0.100000000000000&-1.00000000000000e+27,B,F&F&F&F&F,ulog&ulog&ulog&ulog&ulog,10.0&0.100000000000000&5.00000000000000e-10&0.000100000000000000&-0.100000000000000,1e3&10.0000000000000&5.00000000000000e-8&0.0100000000000000&-0.00100000000000000,p,F&F&F&F&F,ulog&ulog&ulog&ulog&ulog,1000000000.0&0.00100000000000000&1.00000000000000e-30&0.0100000000000000&1.00000000000000e-30,1e11&0.100000000000000&1.00000000000000e-28&1.00000000000000&1.00000000000000e-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,!I.34.27,31,E_n,(h/(2*pi))*omega,1,omega,F&I,ulog&ulog,1000000000.0&1.00000000000000,1e11&100.000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,!I.37.4,32,Int,I1+I2+2*sqrt(I1*I2)*cos(delta),3,I1,F,ulog,0.001,0.1,I2,F,ulog,1e-3,0.1,delta,F,u,0.0,pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,!I.38.12,33,r,4*pi*epsilon0*(h/(2*pi))**2/(m*q**2),2,m,F&F,ulog&ulog,1.0000000000000001e-28&2.22530011270530e-28,1e-26&2.22530011270530e-26,q,F&F,ulog&ulog,1e-11&1.00000000000000e-10,1e-9&1.00000000000000e-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
