Filename,Number,Output,Formula,variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high
I.6.20a,1,f,exp(-theta**2/2)/sqrt(2*pi),1,theta,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.6.20,2,f,exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),2,sigma,0,10,theta,0,10,,,,,,,,,,,,,,,,,,,,,,,,
I.6.20b,3,f,exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),3,sigma,0,10,theta,0,10,theta1,0,10,,,,,,,,,,,,,,,,,,,,,
I.8.14,4,d,sqrt((x2-x1)**2+(y2-y1)**2),4,x1,0,1e17,x2,0,1e17,y1,0,1e17,y2,0,1e17,,,,,,,,,,,,,,,,,,
I.9.18,5,F,G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),8,m1,0,1e30,m2,0,1e30,x1,0,1e17,x2,0,1e17,y1,0,1e17,y2,0,1e17,z1,0,1e17,z2,0,1e17,,,,,,
I.10.7,6,m,m_0/sqrt(1-v**2/c**2),2,m_0,0,1e30,v,0,1e6,,,,,,,,,,,,,,,,,,,,,,,,
I.11.19,7,A,x1*y1+x2*y2+x3*y3,6,x1,0,100,x2,0,100,x3,0,100,y1,0,100,y2,0,100,y3,0,100,,,,,,,,,,,,
I.12.1,8,F,mu*Nn,2,mu,0,1,Nn,0,100,,,,,,,,,,,,,,,,,,,,,,,,
I.12.2,10,F,q1*q2*r/(4*pi*epsilon0*r**3),3,q1,1e-19,1e-16,q2,1e-19,1e-16,r,1e-11,1e-8,,,,,,,,,,,,,,,,,,,,,
I.12.4,11,Ef,q1*r/(4*pi*epsilon0*r**3),2,q1,1e-19,1e-16,r,1e-11,1e-8,,,,,,,,,,,,,,,,,,,,,,,,
I.12.5,12,F,q2*Ef,2,q2,1e-19,1e-16,Ef,-1e4,1e4,,,,,,,,,,,,,,,,,,,,,,,,
I.12.11,13,F,q*(Ef+B*v*sin(theta)),5,q,1e-19,1e-16,Ef,0,1e4,B,-5,5,v,-1000,1000,theta,0,2*pi,,,,,,,,,,,,,,,
I.13.4,9,K,1/2*m*(v**2+u**2+w**2),4,m,0,1e31,v,0,1e6,u,0,1e6,w,0,1e6,,,,,,,,,,,,,,,,,,
I.13.12,14,U,G*m1*m2*(1/r2-1/r1),4,m1,0,1e31,m2,0,1e31,r1,0,1e17,r2,0,1e17,,,,,,,,,,,,,,,,,,
I.14.3,15,U,m*g*z,2,m,0,1e31,z,0,1e7,,,,,,,,,,,,,,,,,,,,,,,,
I.14.4,16,U,1/2*k_spring*x**2,2,k_spring,0,1000,x,0,1,,,,,,,,,,,,,,,,,,,,,,,,
