,Filename,Number,Output,Formula,variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high
0,p33,1,X,((O1-e1)**2)/e1+((O2-e2)**2)/e2,4,O1,0,1000.0,e1,0,1000.0,O2,0,1000.0,e2,0.0,1000.0,,,,,,,,,,,,,,,,,,
1,p137,2,M,100*(a+b)/(a+b+c+d),4,a,0,1000.0,b,0,1000.0,c,0,1000.0,d,0.0,1000.0,,,,,,,,,,,,,,,,,,
2,p149,3,M,50*(T+6*Nn)/t,3,T,0,1000.0,Nn,0,100.0,t,0,1000.0,,,,,,,,,,,,,,,,,,,,,
3,p173,4,f,((1-d/L)**3),2,d,0,10.0,L,d,10.0,,,,,,,,,,,,,,,,,,,,,,,,
4,p256,5,C,c/(1+k*c*t),3,k,0,1000.0,c,0,1000000000000000.0,t,0,100.0,,,,,,,,,,,,,,,,,,,,,
5,p560,6,P,exp(-m),1,m,0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,p673,7,g,b+2*c/(2*a+2*b+2*c),3,a,0,1000.0,b,0,1000.0,c,0,1000.0,,,,,,,,,,,,,,,,,,,,,
7,p675,8,X,((O1-e1)**2)/e1+((O2-e2)**2)/e2+((O3-e3)**2)/e3,6,O1,0,1000.0,e1,0,1000.0,O2,0,1000.0,e2,0.0,1000.0,O3,0.0,1000.0,e3,0.0,1000.0,,,,,,,,,,,,
8,p676,9,P,p*((1-u)**5),2,p,0,100000.0,u,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,p677,10,p,1-1/(2*Nn),1,Nn,0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,p679,11,P,m*(p-q)+q,3,m,0,1.0,p,0,1.0,q,0,1.0,,,,,,,,,,,,,,,,,,,,,
11,p681,12,W,(p**2)*Wa+2*p*q*Wb+(q**2)*Wc,5,p,0,1.0,Wa,0,1.0,q,0,1.0,Wb,0.0,1.0,Wc,0.0,1.0,,,,,,,,,,,,,,,
12,p688,13,F,n*lg(0.5)+lg(1+f),2,n,0,10.0,f,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,p688',14,f,(p**2)+p*q*f,3,p,0,1.0,q,0,1.0,f,-1,1.0,,,,,,,,,,,,,,,,,,,,,
14,p702,15,X,(f1*x1+f2*x2+f3*x3)/3,6,f1,0,1.0,x1,0,100.0,f2,0,1.0,x2,0.0,100.0,f3,0.0,1.0,x3,0.0,100.0,,,,,,,,,,,,
15,p702',16,X,(f1*((x1-x)**2)+f2*((x2-x)**2)+f3*((x3-x)**2))/2,7,f1,0,1.0,x1,0,100.0,x,0,100.0,f2,0.0,1.0,x2,0.0,100.0,f3,0.0,1.0,x3,0.0,100.0,,,,,,,,,
16,p703,17,SD,sqrt(V),1,V,0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,p703',18,C,(f1*(x1-x)*(y1-y)+f2*(x2-x)*(y2-y))/2,8,f1,0,1.0,x1,0,100.0,x,0,100.0,y1,0.0,100.0,y,0.0,100.0,f2,0.0,1.0,x2,0.0,100.0,y2,0.0,100.0,,,,,,
