,Filename,Number,Output,Formula,variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high
0,1.1,1,pV,n*k*NA*T,2,n,1.0,5.0,T,250,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
1,1.2,2,u2,u_x**2+u_y**2+u_z**2,3,u_x,-700.0,700.0,u_y,-700,700.0,u_z,-700,700.0,,,,,,,,,,,,,,,,,,,,,
2,1.21,3,f,4/sqrt(pi)*((m/(2*k*T))**(3/2))*exp(-m*(v**2)/(2*k*T))*(v**2),3,m,1.0000000000000001e-23,1.0000000000000001e-21,T,250,1500.0,v,-1000,1000.0,,,,,,,,,,,,,,,,,,,,,
3,1.34,4,f,a*exp(-(b**2)*(v**2)),3,a,-1000.0,1000.0,b,-1000,1000.0,v,-700,700.0,,,,,,,,,,,,,,,,,,,,,
4,1.41,5,B,sqrt(m/(2*k*T)),2,m,1.0000000000000001e-23,1.0000000000000001e-21,T,250,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
5,1.48,6,f,2/sqrt(pi)*((1/(k*T))**(3/2))*exp(-m*(v**2)/(2*k*T))*(sqrt(1/2*m*(v**2))),3,m,1.0000000000000001e-23,1.0000000000000001e-21,T,250,1500.0,v,-1000,1000.0,,,,,,,,,,,,,,,,,,,,,
6,1.50,7,n,exp(-1/2*m*(v**2)/(k*T)),3,m,1.0000000000000001e-23,1.0000000000000001e-21,T,250,1500.0,v,-1000,1000.0,,,,,,,,,,,,,,,,,,,,,
7,1.52,8,p,P*exp(-m*g*h/(k*T)),4,P,100000.0,100000000.0,m,1e-23,1.0000000000000001e-21,h,0,1000.0,T,250,1500.0,,,,,,,,,,,,,,,,,,
8,1.60,9,z,p/sqrt(2*pi*m*k*T),3,p,100000.0,100000000.0,m,1e-23,1.0000000000000001e-21,T,250,1500.0,,,,,,,,,,,,,,,,,,,,,
9,1.66,10,RT,(p+(1.9029/(V**2)))*(V-1.208),2,p,100000.0,100000000.0,V,1e-9,10.0,,,,,,,,,,,,,,,,,,,,,,,,
10,2.36,11,n,1+q/Q,2,q,-100.0,-1e-05,Q,-q,100.0,,,,,,,,,,,,,,,,,,,,,,,,
11,3.22,12,s,n*k*NA*ln(v/V),3,n,1.0,1000.0,v,1e-9,10.0,V,1e-9,10.0,,,,,,,,,,,,,,,,,,,,,
12,3.91,13,c,1943*(T**3)/(theta**3),2,T,250.0,1000.0,theta,0,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
13,4.12',14,V,1002.93+23.189*m+2.197*(m**(3/2))-0.178*(m**2),1,m,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4.12'',15,Va,(V-nb*Vb)/na,4,V,1e-09,10.0,nb,1e-2,1000000.0,Vb,1e-9,10.0,na,nb,1000000.0,,,,,,,,,,,,,,,,,,
15,4.46,16,deltaT,k*NA*(T**2)/H*nb/na,4,T,250.0,1000.0,H,1000,100000.0,nb,1e-2,1000000.0,na,nb,1000000.0,,,,,,,,,,,,,,,,,,
16,4.77,17,deltaP,k*NA*T*r/M+k*NA*T*1.8201*(r**2),3,T,250.0,1000.0,r,100,10000.0,M,1e-3,1.0,,,,,,,,,,,,,,,,,,,,,
17,4.107,18,G,n1*k*NA*T*ln(y1)+n2*k*NA*T*ln(y2),5,n1,0.01,1000000.0,T,250,1000.0,y1,0,2.0,n2,1e-2,1000000.0,y2,0.0,2.0,,,,,,,,,,,,,,,
18,4.114,19,m,mB*((K*V/(K*V+Va))**n),5,mB,0.0,100.0,K,0,100.0,V,0,10000.0,Va,0,100.0,n,0.0,4.0,,,,,,,,,,,,,,,
19,5.16,20,lgP,1000/T+100*lg(T)+T+10,1,T,250.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5.22,21,y,pa*xa/(pb+(pa-pb)*xa),3,pa,0.001,1000000.0,xa,0,1.0,pb,1e-3,1000000.0,,,,,,,,,,,,,,,,,,,,,
21,5.23,22,n,pa/pb*Ma/Mb,4,pa,0.001,1000000.0,pb,1e-3,1000000.0,Ma,1e-3,1.0,Mb,1e-3,1.0,,,,,,,,,,,,,,,,,,
22,6.20,23,K,fG**(fH**2)/((fD**3)*(fE**4))*(p**4),5,fG,0.001,1000000.0,fH,1e-3,1000000.0,fD,1e-3,1000000.0,fE,1e-3,1000000.0,p,0.001,1000000.0,,,,,,,,,,,,,,,
23,6.52,24,I,ln(K)+H/(k*NA*T),3,K,9.999999999999999e-31,1e+30,H,1000,100000.0,T,250,1000.0,,,,,,,,,,,,,,,,,,,,,
24,6.58',25,D,4*(a**2)/(1-(a**2)),1,a,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6.59',26,K,(x**2)/(1-x)*(1/(10+x)),1,x,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6.64,27,M,ln(T/298)-1+298/T,1,T,250.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7.6,28,t,exp((Nn**2))-Nn,1,Nn,0.0,1e+25,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,7.12,29,Nn,exp(a+b*t),3,a,0.0,1000.0,b,0,1000.0,t,0,10000.0,,,,,,,,,,,,,,,,,,,,,
29,7.18,30,s,k*Nn*ln(exp(-e1/(k*T))+exp(-e2/(k*T))+exp(-e3/(k*T))),5,Nn,0.0,1e+25,e1,1e-19,1e-16,T,250,1000.0,e2,1e-19,1e-16,e3,1e-19,1e-16,,,,,,,,,,,,,,,
30,7.18',31,e,(h**2)/(8*m*(V**(2/3)))*((nx**2)+(ny**2)+(nz**2)),5,m,1.0000000000000001e-23,1.0000000000000001e-21,V,0,1.0,nx,0,3.0,ny,0,3.0,nz,0.0,3.0,,,,,,,,,,,,,,,
31,7.41,32,t,ln(sqrt(2/(pi*Nn))),1,Nn,10.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,7.41',33,p,sqrt(2/(pi*Nn))*exp(-2*(m**2)/Nn),2,Nn,10.0,1000.0,m,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
33,7.44,34,n,g/(exp(-a-b*t)-1),4,g,0.0,1000.0,a,-1000,100.0,b,-1000,100.0,t,0,10000.0,,,,,,,,,,,,,,,,,,
34,7.48,35,n,g/(exp(-a-b*t)+1),4,g,0.0,1000.0,a,-1000,100.0,b,-1000,100.0,t,0,10000.0,,,,,,,,,,,,,,,,,,
35,7.82,36,q,(2*pi*m*k*T/(h**2)),2,m,1.0000000000000001e-23,1.0000000000000001e-21,T,250,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
36,7.83,37,A,Nn*k*T*ln(Nn)-Nn*k*T,2,Nn,0.0,1e+25,T,250,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
