,Filename,Number,Output,Formula,variables,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high,v7_name,v7_low,v7_high,v8_name,v8_low,v8_high,v9_name,v9_low,v9_high,v10_name,v10_low,v10_high
0,I.6.20a,1,f,exp(-theta**2/2)/sqrt(2*pi),1,theta,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,I.6.20,2,f,exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),2,sigma,0,10,theta,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
2,I.6.20b,3,f,exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),3,sigma,0,10,theta,0.0,10.0,theta1,0.0,10.0,,,,,,,,,,,,,,,,,,,,,
3,I.8.14,4,d,sqrt((x2-x1)**2+(y2-y1)**2),4,x1,0,1e17,x2,0.0,1e+17,y1,0.0,1e+17,y2,0.0,1e+17,,,,,,,,,,,,,,,,,,
4,I.9.18,5,F,G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),8,m1,0,1e30,m2,0.0,1e+30,x1,0.0,1e+17,x2,0.0,1e+17,y1,0,1e+17,y2,0.0,1e+17,z1,0.0,1e+17,z2,0.0,1e+17,,,,,,
5,I.10.7,6,m,m_0/sqrt(1-v**2/c**2),2,m_0,0,1e30,v,0.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,
6,I.11.19,7,A,x1*y1+x2*y2+x3*y3,6,x1,0,100,x2,0.0,100.0,x3,0.0,100.0,y1,0.0,100.0,y2,0,100.0,y3,0.0,100.0,,,,,,,,,,,,
8,I.12.2,10,F,q1*q2*r/(4*pi*epsilon0*r**3),3,q1,1e-19,1e-16,q2,1e-19,1e-16,r,1e-11,1e-08,,,,,,,,,,,,,,,,,,,,,
11,I.12.11,13,F,q*(Ef+B*v*sin(theta)),5,q,1e-19,1e-16,Ef,0.0,10000.0,B,-5.0,5.0,v,-1000.0,1000.0,theta,0,6.28,,,,,,,,,,,,,,,
13,I.13.12,14,U,G*m1*m2*(1/r2-1/r1),4,m1,0,1e31,m2,0.0,1e+31,r1,0.0,1e+17,r2,0.0,1e+17,,,,,,,,,,,,,,,,,,
16,I.15.3x,17,x1,(x-u*t)/sqrt(1-u**2/c**2),3,x,0,1e17,u,0.0,1000000.0,t,0.0,100.0,,,,,,,,,,,,,,,,,,,,,
19,I.16.6,20,v1,(u+v)/(1+u*v/c**2),2,v,0,1e6,u,0.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,
20,I.18.4,21,r,(m1*r1+m2*r2)/(m1+m2),4,m1,0,1e31,m2,0.0,1e+31,r1,0.0,1e+17,r2,0.0,1e+17,,,,,,,,,,,,,,,,,,
21,I.18.12,22,tau,r*F*sin(theta),2,r,0,1e17,F,0.0,1000000000000000.0,theta,0.0,6.28,,,,,,,,,,,,,,,,,,,,,
22,I.18.14,23,L,m*r*v*sin(theta),3,m,0,1e31,r,0.0,1e+17,v,-1000.0,1000.0,theta,0.0,6.28,,,,,,,,,,,,,,,,,,
25,I.26.2,26,theta1,arcsin(n*sin(theta2)),2,n,1,4,theta2,0.0,6.28,,,,,,,,,,,,,,,,,,,,,,,,
26,I.27.6,27,foc,1/(1/d1+n/d2),3,d1,0,1e17,d2,0.0,1e+17,n,1.0,4.0,,,,,,,,,,,,,,,,,,,,,
28,I.29.16,29,x,sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),4,x1,0,100,x2,0.0,100.0,theta1,0.0,6.28,theta2,0.0,6.28,,,,,,,,,,,,,,,,,,
29,I.30.3,30,Int,Int_0*sin(n*theta/2)**2/sin(theta/2)**2,3,Int_0,0,1e10,theta,0.0,6.28,n,1.0,4.0,,,,,,,,,,,,,,,,,,,,,
30,I.30.5,31,theta,arcsin(lambd/(n*d)),3,lambd,1e-10,1e5,d,0.0,1e+17,n,1.0,4.0,,,,,,,,,,,,,,,,,,,,,
32,I.32.17,33,Pwr,(1/2*epsilon0*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),4,Ef,-1e4,1e4,r,0.0,1e+17,omega,0.0,4000.0,omega_0,0.0,4000.0,,,,,,,,,,,,,,,,,,
37,I.37.4,38,Int,I1+I2+2*sqrt(I1*I2)*cos(delta),3,I1,0,1e10,I2,0.0,10000000000.0,delta,0.0,6.28,,,,,,,,,,,,,,,,,,,,,
42,I.40.1,43,n,n_0*exp(-m*g*x/(k*T)),4,n_0,0,100,m,0.0,100.0,x,0.0,100.0,T,250.0,1000.0,,,,,,,,,,,,,,,,,,
43,I.41.16,44,L_rad,h/(2*pi)*omega**3/(pi**2*c**2*(exp((h/(2*pi))*omega/(k*T))-1)),2,omega,0,4e3,T,250.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
47,I.44.4,48,E_n,n*k*T*ln(V2/V1),4,n,1e-2,1e6,T,250.0,1000.0,V1,1e-09,10.0,V2,1e-09,10.0,,,,,,,,,,,,,,,,,,
48,I.47.23,49,c,sqrt(g*pr/rho),3,g,0,100,pr,100000.0,100000000.0,rho,100.0,10000.0,,,,,,,,,,,,,,,,,,,,,
49,I.48.20,50,E_n,m*c**2/sqrt(1-v**2/c**2),2,m,1e-31,1e-21,v,0.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,
50,I.50.26,51,x,x1*(cos(omega*t)+alpha*cos(omega*t)**2),4,x1,0,100,omega,0.0,4000.0,t,0.0,100.0,alpha,0.0,100.0,,,,,,,,,,,,,,,,,,
51,II.2.42,52,Pwr,kappa*(T2-T1)*A/d,5,kappa,0,20,T1,250.0,1000.0,T2,250.0,1000.0,A,0.0001,100.0,d,0,10.0,,,,,,,,,,,,,,,
54,II.6.11,55,Volt,1/(4*pi*epsilon0)*p_d*cos(theta)/r**2,3,p_d,1e-29,1e-23,theta,0.0,6.28,r,1e-11,1e-08,,,,,,,,,,,,,,,,,,,,,
55,II.6.15a,56,Ef,p_d/(4*pi*epsilon0)*3*z/r**5*sqrt(x**2+y**2),5,p_d,1e-29,1e-23,r,1e-11,1e-08,x,1e-11,1e-08,y,1e-11,1e-08,z,0,1.0,,,,,,,,,,,,,,,
60,II.11.3,61,x,q*Ef/(m*(omega_0**2-omega**2)),5,q,1e-19,1e-16,Ef,-10000.0,10000.0,m,1e-31,1e-21,omega,0.0,4000.0,omega_0,omega,4000.0,,,,,,,,,,,,,,,
61,II.11.17,62,n,n_0*(1+p_d*Ef*cos(theta)/(k*T)),5,n_0,1e25,1e29,T,250.0,1000.0,theta,0.0,6.28,p_d,1.0000000000000001e-29,1.0000000000000001e-23,Ef,-1e4,10000.0,,,,,,,,,,,,,,,
63,II.11.27,64,Pol,Na/(1-(Na/3))*epsilon0*Ef,2,Na,0,99,Ef,-10000.0,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
64,II.11.28,65,theta,1+Na/(1-(Na/3)),1,Na,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,II.15.4,69,E_n,-mew*B*cos(theta),3,mew,0,100,B,-5.0,5.0,theta,0.0,6.28,,,,,,,,,,,,,,,,,,,,,
70,II.21.32,71,Volt,q/(4*pi*epsilon0*r*(1-v/c)),3,q,1e-9,100,r,0.0,100.0,v,0.0,1000.0,,,,,,,,,,,,,,,,,,,,,
79,II.35.18,80,n,n_0/(exp(mew0*B/(k*T))+exp(-mew0*B/(k*T))),3,n_0,1e25,1e29,T,250.0,1000.0,B,-5.0,5.0,,,,,,,,,,,,,,,,,,,,,
80,II.35.21,81,M,n_rho*mew0*tanh(mew0*B/(k*T)),3,n_rho,1e25,1e29,B,-5.0,5.0,T,250.0,1000.0,,,,,,,,,,,,,,,,,,,,,
81,II.36.38,82,f,mew*H/(k*T)+(mew*alpha)/(epsilon0*c**2*k*T)*M,5,mew,0,100,H,-5.0,5.0,M,-5.0,5.0,T,250.0,1000.0,alpha,0,10.0,,,,,,,,,,,,,,,
85,III.4.32,86,n,1/(exp((h/(2*pi))*omega/(k*T))-1),2,omega,0,4e3,T,250.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
86,III.4.33,87,E_n,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(k*T))-1),2,omega,0,4e3,T,250.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
88,III.8.54,89,prob,sin(E_n*t/(h/(2*pi)))**2,2,E_n,0,100,t,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
89,III.9.52,90,prob,((p_d*Ef*t/(h/(2*pi)))**2)*(sin((omega-omega_0)*t/2)**2)/((omega-omega_0)*t/2)**2,5,p_d,0,100,Ef,-10000.0,10000.0,t,0.0,100.0,omega,0.0,4000.0,omega_0,0,4000.0,,,,,,,,,,,,,,,
90,III.10.19,91,E_n,mew*sqrt(Bx**2+By**2+Bz**2),3,mew,0,100,Bx,-5.0,5.0,By,-5.0,5.0,Bz,-5.0,5.0,,,,,,,,,,,,,,,,,,
93,III.14.14,94,I,I_0*(exp(q*Volt/(k*T))-1),4,I_0,0,10,q,1e-19,1e-16,Volt,0.0,1000.0,T,250.0,1000.0,,,,,,,,,,,,,,,,,,
94,III.15.12,95,E_n,2*U*(1-cos(K*d)),3,U,0,100,K,-100.0,100.0,d,1e-10,1e-09,,,,,,,,,,,,,,,,,,,,,
99,III.21.20,100,j,-rho_c_0*q*A_vec/m,4,rho_c_0,1e-19,1e6,q,1e-19,1e-16,A_vec,0.0,100.0,m,1.0000000000000001e-23,1e-21,,,,,,,,,,,,,,,,,,
